year.col,siteID,functionalGroup,litter.mean,litter.var,index.set,index.col
2016,BART,Leaves,0.647647059,0.187660963,97,152
2016,BART,Leaves,0.23,8.00E-04,141,152
2016,BART,Leaves,2.533,0.921074737,152,207
2016,BART,Leaves,2.742,1.372943158,152,208
2016,BART,Leaves,3.68,4.27164,207,263
2016,BART,Leaves,3.638333333,4.781656667,207,264
2016,BART,Leaves,2.746666667,4.298233333,208,263
2016,BART,Leaves,3.891666667,3.174336667,208,264
2016,BART,Leaves,25.45,246.08085,263,284
2016,BART,Leaves,32.395,683.3713667,263,285
2016,BART,Leaves,31.072,48.74432,264,284
2016,BART,Leaves,25.85111111,92.61184575,264,285
2016,BART,Leaves,74.292,615.3117036,284,298
2016,BART,Leaves,11.48125,49.27379071,298,312
2017,BART,Leaves,1.64375,0.830941071,312,480
2017,BART,Leaves,2.305333333,1.41526023,312,481
2017,BART,Leaves,1.185,0.45125,480,536
2017,BART,Leaves,0.546666667,0.017633333,480,537
2017,BART,Leaves,0.9075,0.405673333,481,536
2017,BART,Leaves,1.141428571,0.547197802,481,537
2017,BART,Leaves,1.055,0.349472222,536,593
2017,BART,Leaves,1.964166667,0.973408333,536,594
2017,BART,Leaves,0.985454545,0.296667273,537,593
2017,BART,Leaves,2.34,3.0856,537,594
2017,BART,Leaves,0.65,0.093933333,572,593
2017,BART,Leaves,11.09916667,40.56319058,593,634
2017,BART,Leaves,12.33714286,35.41406813,594,634
2017,BART,Leaves,17.36,NA,602,634
2017,BART,Leaves,20.545,58.28705714,634,648
2017,BART,Leaves,23.23035714,146.066448,634,649
2017,BART,Leaves,19.12166667,68.76285667,635,649
2017,BART,Leaves,22.73,NA,636,649
2017,BART,Leaves,59.2,132.638425,648,662
2017,BART,Leaves,56.74,322.6933625,649,662
2017,BART,Leaves,24.64222222,45.49634444,662,676
2017,BART,Leaves,27.835,142.3449613,662,677
2018,BART,Leaves,0.805,0.22445,676,865
2018,BART,Leaves,0.47875,0.120926786,677,866
2018,BART,Leaves,0.685,0.36125,865,893
2018,BART,Leaves,0.254166667,0.022844167,866,893
2018,BART,Leaves,0.77,0.2493,866,894
2018,BART,Leaves,0.486666667,0.110746667,893,921
2018,BART,Leaves,1.7,0.125,893,922
2018,BART,Leaves,1.05,0.0578,894,922
2018,BART,Leaves,0.361666667,0.067456667,921,949
2018,BART,Leaves,0.22,NA,922,949
2018,BART,Leaves,0.676666667,0.189633333,922,950
2018,BART,Leaves,0.792142857,0.28919881,949,978
2018,BART,Leaves,1.355,0.13005,950,978
2018,BART,Leaves,0.61,NA,950,979
2018,BART,Leaves,19.695,11.28125,978,1012
2018,BART,Leaves,15.0275,86.72159286,978,1013
2018,BART,Leaves,1.03,NA,979,1013
2018,BART,Leaves,57.06,56.8178,1012,1027
2018,BART,Leaves,64,292.4615,1013,1026
2018,BART,Leaves,57.2525,167.5040917,1013,1027
2018,BART,Leaves,34.286,100.62338,1026,1042
2018,BART,Leaves,31.195,12.05405,1026,1043
2018,BART,Leaves,6.6,0.0968,1027,1041
2018,BART,Leaves,28.815,10.53405,1027,1042
2019,BART,Leaves,2.25,NA,1042,1229
2019,BART,Leaves,2.55,0.0128,1042,1230
2019,BART,Leaves,5.24,10.3058,1043,1230
2019,BART,Leaves,0.515,0.11091,1229,1257
2019,BART,Leaves,0.335,0.014766667,1230,1257
2019,BART,Leaves,0.71,0.0784,1230,1258
2019,BART,Leaves,0.971428571,0.071114286,1257,1285
2019,BART,Leaves,1.27,0.5547,1257,1286
2019,BART,Leaves,1.081428571,0.134147619,1258,1286
2019,BART,Leaves,0.679090909,0.114949091,1285,1313
2019,BART,Leaves,0.65,NA,1286,1313
2019,BART,Leaves,1.1225,0.168758333,1286,1314
2019,BART,Leaves,0.782,0.13867,1313,1343
2019,BART,Leaves,0.67,NA,1314,1343
2019,BART,Leaves,0.944285714,0.397528571,1314,1344
2019,BART,Leaves,0.56,NA,1315,1343
2019,BART,Leaves,4.593636364,9.586625455,1343,1363
2019,BART,Leaves,3.4225,4.774329545,1344,1362
2019,BART,Leaves,2.2,0.32556,1344,1363
2019,BART,Leaves,12.718,69.65290286,1362,1377
2019,BART,Leaves,11.22166667,16.32077667,1363,1376
2019,BART,Leaves,13.38526316,59.1084152,1363,1377
2019,BART,Leaves,58.79,66.51034286,1376,1390
2019,BART,Leaves,77.05666667,101.7330333,1377,1390
2019,BART,Leaves,58.41333333,416.6826058,1377,1391
2019,BART,Leaves,25.796,59.18508,1390,1404
2019,BART,Leaves,9.37,98.00126667,1391,1404
2019,BART,Leaves,24.43,395.5273,1391,1405
2016,BART,Woody material,0.59765625,0.790620943,97,152
2016,BART,Woody material,0.005,NA,141,152
2016,BART,Woody material,0.921,1.064546316,152,207
2016,BART,Woody material,0.7275,1.065567105,152,208
2016,BART,Woody material,0.261666667,0.020096667,207,263
2016,BART,Woody material,0.156666667,0.078616667,207,264
2016,BART,Woody material,0.453333333,0.478033333,208,263
2016,BART,Woody material,0.232,0.07887,208,264
2016,BART,Woody material,0.05375,0.00185625,263,284
2016,BART,Woody material,0.458333333,0.159758333,263,285
2016,BART,Woody material,0.055,0.002775,264,284
2016,BART,Woody material,0.088076923,0.03556891,264,285
2016,BART,Woody material,0.360735294,0.771636564,284,298
2016,BART,Woody material,0.074594595,0.019238026,298,312
2017,BART,Woody material,3.988888889,18.77213611,312,480
2017,BART,Woody material,2.265483871,7.249158925,312,481
2017,BART,Woody material,0.08,0.0018,480,536
2017,BART,Woody material,1.55,3.38,480,537
2017,BART,Woody material,0.433,0.303070714,481,536
2017,BART,Woody material,0.365,0.114383333,481,537
2017,BART,Woody material,0.310555556,0.122690278,536,593
